CALL_ID,CUSTOMER_ID,CC_REP_ID,CC_CALL_DT,CALL_TYPE
C0000500000,1455,119,2018-04-23 04:09:00.000,Neutral Call
C0000500001,1455,120,2018-04-24 10:15:00.000,Purchase
C0000500002,1484,175,2018-04-15 23:28:00.000,Neutral Call
C0000500003,1526,107,2018-04-05 03:27:00.000,Neutral Call
C0000500004,1526,109,2018-04-09 08:23:00.000,Purchase
C0000500005,1531,163,2018-03-18 03:06:00.000,Neutral Call
C0000500006,1531,163,2018-03-19 15:50:00.000,Purchase
C0000500007,1545,194,2018-04-28 14:43:00.000,Neutral Call
C0000500008,1545,145,2018-04-28 14:50:00.000,Purchase
C0000500009,1578,180,2018-03-23 13:34:00.000,Neutral Call
C0000500010,1581,148,2018-04-06 23:24:00.000,Neutral Call
C0000500011,1581,167,2018-04-08 05:18:00.000,Service Inquiry
C0000500012,1585,111,2018-04-15 13:05:00.000,Neutral Call
C0000500013,1626,200,2018-04-10 01:37:00.000,Service Inquiry
C0000500014,1656,140,2018-05-12 07:16:00.000,Neutral Call
C0000500015,1656,198,2018-05-13 13:24:00.000,Return Policy Inquiry
C0000500016,1736,195,2018-03-19 12:22:00.000,Neutral Call
C0000500017,1736,152,2018-03-25 17:10:00.000,Purchase
C0000500018,1777,156,2018-04-22 21:55:00.000,Neutral Call
C0000500019,1777,120,2018-04-24 04:42:00.000,Purchase
C0000500020,1779,152,2018-03-18 21:15:00.000,Neutral Call
C0000500021,1785,115,2018-04-29 17:18:00.000,Neutral Call
C0000500022,1785,136,2018-04-30 21:53:00.000,Purchase
C0000500023,1800,141,2018-03-15 17:29:00.000,Purchase
C0000500024,1813,183,2018-04-08 13:31:00.000,Service Inquiry
C0000500025,1815,138,2018-04-05 09:20:00.000,Service Inquiry
C0000500026,1815,164,2018-04-05 09:23:00.000,Neutral Call
C0000500027,1846,153,2018-04-03 08:34:00.000,Neutral Call
C0000500028,1846,177,2018-04-10 00:00:00.000,Purchase
C0000500029,1883,120,2018-03-28 04:28:00.000,Service Inquiry
C0000500030,1883,161,2018-03-29 15:07:00.000,Neutral Call
C0000500031,1904,192,2018-04-16 22:45:00.000,Neutral Call
C0000500032,1904,165,2018-04-18 04:52:00.000,Return Policy Inquiry
C0000500033,1918,184,2018-05-10 11:42:00.000,Neutral Call
C0000500034,1918,180,2018-05-11 13:15:00.000,Purchase
C0000500035,1938,184,2018-04-10 22:32:00.000,Neutral Call
C0000500036,1938,161,2018-04-14 12:09:00.000,Service Inquiry
C0000500037,1945,109,2018-03-27 14:26:00.000,Service Inquiry
C0000500038,1945,182,2018-03-29 05:45:00.000,Neutral Call
C0000500039,1945,179,2018-03-31 19:44:00.000,Purchase
C0000500040,1979,145,2018-05-06 09:57:00.000,Service Inquiry
C0000500041,1982,188,2018-03-24 02:09:00.000,Neutral Call
C0000500042,1982,142,2018-03-28 00:13:00.000,Return Policy Inquiry
C0000500043,1988,107,2018-03-22 06:10:00.000,Return Policy Inquiry
C0000500044,1988,105,2018-03-23 06:44:00.000,Neutral Call
C0000500045,2024,200,2018-03-21 02:05:00.000,Neutral Call
C0000500046,2059,133,2018-04-22 18:28:00.000,Return Policy Inquiry
C0000500047,2059,128,2018-04-24 06:42:00.000,Neutral Call
C0000500048,2070,182,2018-05-06 07:44:00.000,Purchase
C0000500049,2123,126,2018-05-08 06:01:00.000,Neutral Call
C0000500050,2181,116,2018-04-03 23:55:00.000,Purchase
C0000500051,2214,107,2018-05-14 08:38:00.000,Purchase
C0000500052,2216,100,2018-05-11 05:28:00.000,Return Policy Inquiry
C0000500053,2216,135,2018-05-12 18:48:00.000,Neutral Call
C0000500054,2222,198,2018-05-08 23:24:00.000,Neutral Call
C0000500055,2224,173,2018-04-16 06:55:00.000,Neutral Call
C0000500056,2224,110,2018-04-17 13:04:00.000,Return Policy Inquiry
C0000500057,2224,190,2018-04-20 18:24:00.000,Purchase
C0000500058,2229,185,2018-04-08 07:45:00.000,Return Policy Inquiry
C0000500059,2229,117,2018-04-08 07:48:00.000,Service Inquiry
C0000500060,2229,172,2018-04-08 07:55:00.000,Neutral Call
C0000500061,2278,154,2018-04-22 02:32:00.000,Neutral Call
C0000500062,2278,151,2018-04-22 02:42:00.000,Return Policy Inquiry
C0000500063,2278,189,2018-04-23 15:30:00.000,Purchase
C0000500064,2289,189,2018-04-17 23:43:00.000,Neutral Call
C0000500065,2290,120,2018-05-01 09:04:00.000,Neutral Call
C0000500066,2290,142,2018-05-01 09:12:00.000,Purchase
C0000500067,2310,171,2018-04-18 04:37:00.000,Return Policy Inquiry
C0000500068,2337,144,2018-04-30 04:41:00.000,Neutral Call
C0000500069,2338,161,2018-04-08 01:59:00.000,Neutral Call
C0000500070,2357,101,2018-04-07 10:12:00.000,Purchase
C0000500071,2359,187,2018-04-10 19:06:00.000,Return Policy Inquiry
C0000500072,2359,146,2018-04-10 19:11:00.000,Service Inquiry
C0000500073,2359,187,2018-04-10 19:16:00.000,Neutral Call
C0000500074,2363,137,2018-03-19 04:44:00.000,Purchase
C0000500075,2380,108,2018-03-31 09:28:00.000,Neutral Call
C0000500076,2380,147,2018-04-03 01:47:00.000,Purchase
C0000500077,2395,176,2018-05-06 00:25:00.000,Neutral Call
C0000500078,2395,128,2018-05-06 00:35:00.000,Purchase
C0000500079,2408,129,2018-05-01 11:14:00.000,Neutral Call
C0000500080,2515,172,2018-04-30 20:00:00.000,Neutral Call
C0000500081,2515,114,2018-05-02 03:03:00.000,Purchase
