STORE_ID,CUSTOMER_ID,VISIT_DT,ACTION
83,1455,2018-04-24 10:09:00.000,Store Visit
82,1484,2018-04-19 17:37:00.000,Store Visit
82,1484,2018-04-19 17:42:00.000,Purchase
82,1484,2018-04-14 21:20:00.000,Service Inquiry
111,1526,2018-04-05 03:34:00.000,Service Inquiry
111,1526,2018-04-03 15:22:00.000,Store Visit
30,1531,2018-03-19 15:45:00.000,Service Inquiry
30,1531,2018-03-19 15:40:00.000,Return Policy Inquiry
30,1531,2018-03-18 03:05:00.000,Store Visit
38,1545,2018-04-28 14:44:00.000,Store Visit
47,1578,2018-03-23 13:30:00.000,Return Policy Inquiry
47,1578,2018-03-24 19:58:00.000,Service Inquiry
47,1578,2018-03-24 20:08:00.000,Store Visit
7,1581,2018-04-08 05:15:00.000,Store Visit
7,1581,2018-04-09 06:07:00.000,Purchase
97,1585,2018-04-18 06:11:00.000,Return Policy Inquiry
71,1626,2018-04-10 01:35:00.000,Store Visit
71,1626,2018-04-14 06:12:00.000,Return Policy Inquiry
115,1656,2018-05-16 07:03:00.000,Purchase
115,1656,2018-05-13 13:31:00.000,Service Inquiry
25,1736,2018-03-19 12:18:00.000,Return Policy Inquiry
25,1736,2018-03-19 12:25:00.000,Service Inquiry
25,1779,2018-03-18 21:14:00.000,Store Visit
54,1815,2018-04-08 14:13:00.000,Purchase
45,1846,2018-04-04 14:43:00.000,Return Policy Inquiry
45,1846,2018-04-05 20:59:00.000,Store Visit
24,1883,2018-03-29 15:26:00.000,Purchase
24,1883,2018-03-28 04:28:00.000,Return Policy Inquiry
118,1895,2018-04-17 19:20:00.000,Store Visit
57,1904,2018-04-18 04:54:00.000,Store Visit
57,1904,2018-04-18 04:57:00.000,Service Inquiry
82,1945,2018-03-27 14:30:00.000,Return Policy Inquiry
68,1982,2018-03-29 08:14:00.000,Purchase
40,1988,2018-03-23 06:46:00.000,Service Inquiry
40,1988,2018-03-26 01:09:00.000,Purchase
40,1988,2018-03-23 06:47:00.000,Store Visit
94,2123,2018-05-08 05:58:00.000,Store Visit
94,2123,2018-05-09 13:05:00.000,Service Inquiry
94,2123,2018-05-08 05:55:00.000,Return Policy Inquiry
82,2216,2018-05-09 20:46:00.000,Store Visit
89,2222,2018-05-08 23:35:00.000,Return Policy Inquiry
89,2222,2018-05-08 23:26:00.000,Store Visit
117,2224,2018-04-17 13:07:00.000,Store Visit
104,2229,2018-04-08 07:44:00.000,Store Visit
104,2229,2018-04-11 11:53:00.000,Purchase
56,2278,2018-04-22 02:26:00.000,Store Visit
115,2289,2018-04-17 23:39:00.000,Return Policy Inquiry
115,2289,2018-04-17 23:50:00.000,Purchase
61,2310,2018-04-18 04:36:00.000,Store Visit
61,2310,2018-04-18 04:43:00.000,Purchase
38,2337,2018-04-30 04:39:00.000,Store Visit
38,2337,2018-04-30 04:37:00.000,Service Inquiry
38,2337,2018-05-02 22:15:00.000,Purchase
33,2338,2018-04-10 11:55:00.000,Purchase
89,2359,2018-04-10 19:14:00.000,Store Visit
89,2359,2018-04-13 14:24:00.000,Purchase
96,2395,2018-05-06 00:31:00.000,Store Visit
96,2395,2018-05-06 00:27:00.000,Return Policy Inquiry
