"TD_TIMECODE","CUSTOMER_ID","SERVER_ID","PAGE","BROWSE_ID"
"2018-03-12 18:46:00.000000",195709,"VP10","Online Feedback","W0000200003"
"2018-03-12 20:38:00.000000",71794,"EA59","Online Feedback","W0000200005"
"2018-03-12 20:38:00.000000",197874,"VP10","Online Feedback","W0000200007"
"2018-03-12 20:42:00.000000",71794,"EA59","Return Policy Inquiry","W0000200008"
"2018-03-12 20:50:00.000000",7754,"CV186","Purchase","W0000200010"
"2018-03-13 00:47:00.000000",90095,"EA59","Web Chat","W0000200014"
"2018-03-13 00:47:00.000000",122115,"EA59","Web Chat","W0000200015"
"2018-03-13 00:52:00.000000",90095,"EA59","Online Feedback","W0000200021"
"2018-03-13 00:52:00.000000",122115,"EA59","Online Feedback","W0000200022"
"2018-03-13 04:53:00.000000",22826,"ZG67","Return Policy Inquiry","W0000200024"
"2018-03-13 04:54:00.000000",22826,"ZG67","Product Browsing","W0000200025"
"2018-03-13 04:54:00.000000",86866,"ZG67","Product Browsing","W0000200027"
"2018-03-13 04:54:00.000000",150906,"ZG67","Product Browsing","W0000200029"
"2018-03-13 04:54:00.000000",212946,"ZG67","Product Browsing","W0000200030"
"2018-03-13 04:54:00.000000",118886,"CV186","Product Browsing","W0000200028"
"2018-03-13 04:56:00.000000",22826,"ZG67","Web Chat","W0000200031"
"2018-03-13 04:56:00.000000",86866,"ZG67","Web Chat","W0000200033"
"2018-03-13 04:56:00.000000",212946,"ZG67","Web Chat","W0000200035"
"2018-03-13 04:56:00.000000",54846,"JM76","Web Chat","W0000200032"
"2018-03-13 04:59:00.000000",118886,"CV186","Online Feedback","W0000200038"
"2018-03-13 04:59:00.000000",182926,"EA59","Online Feedback","W0000200039"
"2018-03-13 04:59:00.000000",22826,"ZG67","Service Inquiry","W0000200036"
"2018-03-13 04:59:00.000000",86866,"ZG67","Online Feedback","W0000200037"
"2018-03-13 05:34:00.000000",113408,"JM76","Product Browsing","W0000200045"
"2018-03-13 05:34:00.000000",81388,"ZG67","Product Browsing","W0000200044"
"2018-03-13 05:34:00.000000",177448,"ZG67","Product Browsing","W0000200046"
"2018-03-13 05:34:00.000000",207468,"ZG67","Product Browsing","W0000200047"
"2018-03-13 05:34:00.000000",239439,"ZG67","Product Browsing","W0000200048"
"2018-03-13 06:14:00.000000",6673,"VP10","Product Browsing","W0000200050"
"2018-03-13 06:14:00.000000",70713,"ZG67","Product Browsing","W0000200052"
"2018-03-13 06:14:00.000000",102733,"ZG67","Product Browsing","W0000200053"
"2018-03-13 06:16:00.000000",6673,"VP10","Service Inquiry","W0000200055"
"2018-03-13 06:16:00.000000",134753,"VP10","Online Feedback","W0000200058"
"2018-03-13 06:16:00.000000",70713,"ZG67","Online Feedback","W0000200056"
"2018-03-13 06:16:00.000000",102733,"ZG67","Online Feedback","W0000200057"
"2018-03-13 06:16:00.000000",166773,"ZG67","Online Feedback","W0000200059"
"2018-03-13 08:29:00.000000",23598,"OL162","Web Chat","W0000200062"
